"Time (seconds)","Speed (mph)","Grade (rise/run)","Key On/Off (1/0)","Engine Speed (rpm)","Engine Torque (Nm)","Engine Power (kW)"
0,0,0,1,607.75,221.04,14.07
1,0,0,1,592.5,245.6,15.24
2,0,0,1,602.25,221.04,13.94
3,0,0,1,602.88,221.04,13.95
4,0,0,1,591.62,245.6,15.22
5,0,0,1,604.25,245.6,15.54
6,0,0,1,601.75,245.6,15.48
7,0,0,1,601.12,221.04,13.91
8,0,0,1,602.12,221.04,13.94
9,0,0,1,605.25,221.04,14.01
10,0,0,1,602.25,196.48,12.39
11,0,0,1,599.75,196.48,12.34
12,0,0,1,600.38,196.48,12.35
13,0,0,1,583.62,245.6,15.01
14,0,0,1,605.12,221.04,14.01
15,0,0,1,601.12,221.04,13.91
16,0,0,1,599.88,221.04,13.89
17,0,0,1,602.38,196.48,12.39
18,0,0,1,605.75,196.48,12.46
19,0,0,1,601.5,196.48,12.38
20,0,0,1,598.75,196.48,12.32
21,0,0,1,603.25,196.48,12.41
22,0,0,1,588.75,221.04,13.63
23,0,0,1,602.5,196.48,12.4
24,0,0,1,597.12,221.04,13.82
25,0,0,1,600.88,196.48,12.36
26,0,0,1,603.62,196.48,12.42
27,0,0,1,601.75,196.48,12.38
28,0,0,1,601.75,196.48,12.38
29,0,0,1,598.62,196.48,12.32
30,0,0,1,600.38,196.48,12.35
31,0,0,1,601.62,196.48,12.38
32,0,0,1,600,221.04,13.89
33,0,0,1,598.25,221.04,13.85
34,0,0,1,600.25,221.04,13.89
35,0,0,1,601.25,221.04,13.92
36,0,0,1,600.88,221.04,13.91
37,0,0,1,600.38,221.04,13.9
38,0,0,1,601.88,196.48,12.38
39,0,0,1,602.38,196.48,12.39
40,0,0,1,601.62,122.8,7.74
41,0,0,1,599.12,122.8,7.7
42,0,0,1,600,122.8,7.72
43,0,0,1,602.38,122.8,7.75
44,0,0,1,601.12,147.36,9.28
45,0,0,1,599.12,147.36,9.25
46,0,0,1,600.62,147.36,9.27
47,0,0,1,602.12,122.8,7.74
48,0,0,1,600.12,122.8,7.72
49,0,0,1,599.38,122.8,7.71
50,0,0,1,599.88,122.8,7.71
51,0,0,1,600,122.8,7.72
52,0,0,1,600.38,122.8,7.72
53,0,0,1,600.75,122.8,7.73
54,0,0,1,599.12,122.8,7.7
55,0,0,1,601.62,122.8,7.74
56,0,0,1,598.75,122.8,7.7
57,0,0,1,600.25,122.8,7.72
58,0,0,1,601,122.8,7.73
59,0,0,1,599.25,122.8,7.71
60,0,0,1,600.25,122.8,7.72
61,0,0,1,601.62,122.8,7.74
62,0,0,1,599.75,122.8,7.71
63,0,0,1,601.5,122.8,7.74
64,0,0,1,600.12,122.8,7.72
65,0,0,1,600.25,122.8,7.72
66,0,0,1,600.38,122.8,7.72
67,0,0,1,609.5,98.24,6.27
68,0,0,1,602.62,98.24,6.2
69,0,0,1,599.38,98.24,6.17
70,0,0,1,599.25,98.24,6.16
71,0,0,1,599.5,98.24,6.17
72,0,0,1,600.5,98.24,6.18
73,0,0,1,599.62,98.24,6.17
74,0,0,1,600,98.24,6.17
75,0,0,1,600.25,98.24,6.18
76,0,0,1,600.38,98.24,6.18
77,0,0,1,600.38,98.24,6.18
78,0,0,1,600.12,98.24,6.17
79,0,0,1,601,98.24,6.18
80,0,0,1,600.12,98.24,6.17
81,0,0,1,599.88,98.24,6.17
82,0,0,1,600.75,98.24,6.18
83,0,0,1,599.25,98.24,6.16
84,0,0,1,600.75,98.24,6.18
85,0,0,1,598,98.24,6.15
86,0,0,1,601.25,98.24,6.19
