"Time (seconds)","Speed (mph)","Grade (rise/run)","Key On/Off (1/0)","Engine Speed (rpm)","Engine Torque (Nm)","Engine Power (kW)"
0,0,0,1,600.62,77.04,4.85
1,0,0,1,602.5,77.04,4.86
2,0,0,1,596.12,102.72,6.41
3,0,0,1,666.88,51.36,3.59
4,0,0,1,703.88,205.44,15.14
5,1.13,0.0016,1,654.12,102.72,7.04
6,1.34,0.0016,1,659.38,128.4,8.87
7,1.63,0.0016,1,659.12,205.44,14.18
8,2.02,0.0016,1,629.5,51.36,3.39
9,2.01,0.0016,1,630,154.08,10.17
10,2.26,0.0016,1,597.12,102.72,6.42
11,1.88,0.0016,1,603.25,77.04,4.87
12,1.42,0.0016,1,597.5,102.72,6.43
13,0.68,0.0016,1,694.25,102.72,7.47
14,0,0,1,694,154.08,11.2
15,0,0,1,707.88,205.44,15.23
16,0.88,0.0016,1,699.88,205.44,15.06
17,1.29,0.0016,1,707.75,179.76,13.32
18,1.76,0.0016,1,653.25,-25.68,0
19,1.57,0.0016,1,603.38,77.04,4.87
20,1.16,0.0016,1,594.5,128.4,7.99
21,0.96,0.0016,1,699.75,154.08,11.29
22,1.12,0.0016,1,693.75,128.4,9.33
23,1.16,0.0016,1,601.38,128.4,8.09
24,0.84,0.0016,1,602.25,231.12,14.58
25,0.79,0.0016,1,683.62,154.08,11.03
26,0,0,1,711.25,154.08,11.48
27,0.92,0.0016,1,703.75,179.76,13.25
28,1.03,0.0016,1,587,77.04,4.74
29,0.88,0.0016,1,708.5,51.36,3.81
30,0.83,0.0016,1,698.88,179.76,13.16
31,0.7,0.0016,1,685.75,308.16,22.13
32,0,0,1,633,0,0
33,0,0,1,704.62,179.76,13.26
34,0.64,0.0016,1,694.88,128.4,9.34
35,0.76,0.0016,1,629.38,154.08,10.16
36,0,0,1,697.12,154.08,11.25
37,0,0,1,702.5,128.4,9.45
38,0,0,1,701.62,154.08,11.32
39,0,0,1,697.5,128.4,9.38
40,0,0,1,720.5,179.76,13.56
41,0,0,1,720.38,256.8,19.37
42,0,0,1,729.25,308.16,23.53
43,0,0,1,758.62,179.76,14.28
44,0,0,1,771.75,308.16,24.9
45,0,0,1,774.62,-102.72,0
46,0,0,1,618.12,102.72,6.65
47,0.71,0.0016,1,610.38,77.04,4.92
48,0,0,1,600.25,102.72,6.46
49,0,0,1,672.12,256.8,18.07
50,0.83,0.0016,1,603.75,0,0
51,0.95,0.0016,1,571.62,128.4,7.69
52,0,0,1,597.62,102.72,6.43
53,0,0,1,600.38,102.72,6.46
54,0,0,1,667,51.36,3.59
55,0,0,1,697.5,487.92,35.64
56,2.61,0.0016,1,573,128.4,7.7
57,1.34,0.0016,1,591.88,102.72,6.37
58,0,0,1,606.12,102.72,6.52
59,0,0,1,711,282.48,21.03
60,0,0,1,575,128.4,7.73
61,0,0,1,584.25,128.4,7.86
62,0,0,1,599.5,128.4,8.06
63,0,0,1,602.12,128.4,8.1
64,0,0,1,653.38,590.64,40.41
65,0,0,1,620.12,128.4,8.34
66,0,0,1,610.75,102.72,6.57
67,0,0,1,603.88,102.72,6.5
68,0,0,1,601,102.72,6.46
69,0,0,1,600.75,102.72,6.46
70,0,0,1,601,102.72,6.46
71,0,0,1,598.75,102.72,6.44
72,0,0,1,605.12,102.72,6.51
73,0,0,1,599.25,102.72,6.45
74,0,0,1,602,102.72,6.48
75,0,0,1,600.62,102.72,6.46
76,0,0,1,598.5,102.72,6.44
77,0,0,1,599.38,102.72,6.45
78,0,0,1,598.75,102.72,6.44
79,0,0,1,599.75,102.72,6.45
80,0,0,1,601.12,102.72,6.47
81,0,0,1,600.5,102.72,6.46
82,0,0,1,600,102.72,6.45
83,0,0,1,599.25,102.72,6.45
84,0,0,1,600.62,102.72,6.46
85,0,0,1,598.5,102.72,6.44
86,0,0,1,600.38,102.72,6.46
87,0,0,1,600.75,102.72,6.46
88,0,0,1,602.12,102.72,6.48
89,0,0,1,601.12,102.72,6.47
90,0,0,1,597.88,102.72,6.43
91,0,0,1,599.38,102.72,6.45
92,0,0,1,597.62,102.72,6.43
93,0,0,1,600,102.72,6.45
94,0,0,1,596.5,128.4,8.02
95,0,0,1,601.88,102.72,6.47
96,0,0,1,600.75,102.72,6.46
97,0,0,1,600,128.4,8.07
98,0,0,1,600.12,128.4,8.07
99,0,0,1,602.75,102.72,6.48
100,0,0,1,601,102.72,6.46
101,0,0,1,599.38,102.72,6.45
102,0,0,1,601,102.72,6.46
103,0,0,1,599.25,102.72,6.45
104,0,0,1,600.62,102.72,6.46
105,0,0,1,599.5,102.72,6.45
106,0,0,1,598.88,102.72,6.44
107,0,0,1,601,102.72,6.46
108,0,0,1,600.88,102.72,6.46
109,0,0,1,606.5,102.72,6.52
