"Time (seconds)","Speed (mph)","Grade (rise/run)","Key On/Off (1/0)","Engine Speed (rpm)","Engine Torque (Nm)","Engine Power (kW)"
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,1,651.75,0,0
11,0,0,1,648.88,0,0
12,0,0,1,650.88,270.05,18.41
13,0,0,1,652.75,270.05,18.46
14,0,0,1,648.62,270.05,18.34
15,0,0,1,651.5,270.05,18.42
16,0,0,1,650.25,270.05,18.39
17,0,0,1,650,270.05,18.38
18,0,0,1,649.62,245.5,16.7
60,0,0,1,649.25,245.5,16.69
61,0,0,1,652.38,245.5,16.77
62,0,0,1,650.5,245.5,16.72
63,0,0,1,651.5,245.5,16.75
64,0,0,1,650.38,270.05,18.39
65,0,0,1,650.5,270.05,18.4
66,0,0,1,650.12,270.05,18.39
67,0,0,1,648.88,270.05,18.35
68,0,0,1,651.5,270.05,18.42
69,0,0,1,649.38,270.05,18.36
70,0,0,1,651.12,270.05,18.41
71,0,0,1,650.38,270.05,18.39
72,0,0,1,648.5,270.05,18.34
73,0,0,1,651.38,270.05,18.42
74,0,0,1,648.75,270.05,18.35
75,0,0,1,650.88,270.05,18.41
76,0,0,1,650.25,270.05,18.39
77,0,0,1,651.25,270.05,18.42
78,0,0,1,648.88,270.05,18.35
79,0,0,1,650,270.05,18.38
80,0,0,1,652,270.05,18.44
81,0,0,1,649.38,270.05,18.36
82,0,0,1,651.25,270.05,18.42
83,0,0,1,647.25,294.6,19.97
84,0,0,1,651.62,270.05,18.43
85,0,0,1,651.75,270.05,18.43
86,0,0,1,648.75,270.05,18.35
87,0,0,1,657.62,147.3,10.14
88,0,0,1,653,147.3,10.07
89,0,0,1,649.5,147.3,10.02
90,0,0,1,647.62,147.3,9.99
91,0,0,1,651.5,147.3,10.05
92,0,0,1,650.88,147.3,10.04
93,0,0,1,649.75,147.3,10.02
94,0,0,1,652,122.75,8.38
95,0,0,1,648.88,147.3,10.01
96,0,0,1,648.12,147.3,10
97,0,0,1,648.38,122.75,8.33
98,0,0,1,650.25,122.75,8.36
99,0,0,1,650.88,122.75,8.37
100,0,0,1,648.88,122.75,8.34
101,0,0,1,652.38,122.75,8.39
102,0,0,1,648.25,122.75,8.33
103,0,0,1,649.25,122.75,8.35
104,0,0,1,648,122.75,8.33
105,0,0,1,651.88,122.75,8.38
106,0,0,1,651.25,122.75,8.37
107,0,0,1,648.12,122.75,8.33
108,0,0,1,651.12,122.75,8.37
109,0,0,1,649.5,122.75,8.35
110,0,0,1,650.88,122.75,8.37
111,0,0,1,651.38,122.75,8.37
112,0,0,1,650,122.75,8.36
113,0,0,1,649.5,122.75,8.35
114,0,0,1,649.75,122.75,8.35
115,0,0,1,648.12,122.75,8.33
116,0,0,1,647.25,122.75,8.32
117,0,0,1,645.88,122.75,8.3
118,0,0,1,645.25,147.3,9.95
119,0,0,1,662,122.75,8.51
120,0,0,1,653.38,122.75,8.4
121,0,0,1,646.25,122.75,8.31
122,0,0,1,643.38,147.3,9.92
123,0,0,1,661,122.75,8.5
124,0,0,1,651.88,122.75,8.38
125,0,0,1,651.88,122.75,8.38
126,0,0,1,642.38,147.3,9.91
127,0,0,1,650.38,147.3,10.03
128,0,0,1,652,122.75,8.38
129,0,0,1,651.62,122.75,8.38
130,0,0,1,650.25,122.75,8.36
131,0,0,1,644.25,147.3,9.94
132,0,0,1,656.25,122.75,8.44
133,0,0,1,649.12,122.75,8.34
134,0,0,1,648.88,122.75,8.34
135,0,0,1,648.88,122.75,8.34
136,0,0,1,646.38,147.3,9.97
137,0,0,1,645.75,147.3,9.96
138,0,0,1,607.75,319.15,20.31
139,0,0,1,673.12,98.2,6.92
140,0,0,1,647.25,122.75,8.32
141,0,0,1,645.62,147.3,9.96
142,0,0,1,649.88,147.3,10.02
143,0,0,1,651.5,147.3,10.05
144,0,0,1,648.5,122.75,8.34
145,0,0,1,640.12,147.3,9.87
146,0,0,1,657.25,171.85,11.83
147,0,0,1,656,122.75,8.43
148,0,0,1,640.38,196.4,13.17
149,0,0,1,655.75,147.3,10.12
150,0,0,1,644.38,171.85,11.6
151,0,0,1,651.62,147.3,10.05
152,0,0,1,650.38,147.3,10.03
153,0,0,1,646.25,171.85,11.63
154,0,0,1,650.5,171.85,11.71
155,0,0,1,650.25,171.85,11.7
156,0,0,1,653,147.3,10.07
157,0,0,1,643.62,171.85,11.58
158,0,0,1,656.88,147.3,10.13
159,0,0,1,650.88,147.3,10.04
160,0,0,1,648.25,147.3,10
161,0,0,1,651.5,147.3,10.05
162,0,0,1,649.38,147.3,10.02
163,0,0,1,622.12,270.05,17.59
164,0,0,1,649.5,245.5,16.7
165,0,0,1,671.12,98.2,6.9
166,0,0,1,650.12,122.75,8.36
167,0,0,1,649,122.75,8.34
168,0,0,1,649.88,122.75,8.35
169,0,0,1,648.62,122.75,8.34
170,1.59,0.0054,1,662,98.2,6.81
171,0,0,1,650.75,98.2,6.69
172,1.75,0.0054,1,644.62,147.3,9.94
173,1.83,0.0054,1,664.62,73.65,5.13
174,1.78,0.0054,1,647,122.75,8.32
175,1.78,0.0054,1,647,122.75,8.32
176,1.78,0.0054,1,647,122.75,8.32
177,1.78,0.0054,1,647,122.75,8.32
178,1.78,0.0054,1,647,122.75,8.32
179,1.78,0.0054,1,653.12,122.75,8.4
180,1.78,0.0054,1,653.12,122.75,8.4
181,1.78,0.0054,1,653.12,122.75,8.4
182,1.78,0.0054,1,653.12,122.75,8.4
183,1.78,0.0054,1,653.12,122.75,8.4
184,1.78,0.0054,1,653.12,122.75,8.4
